iter	Accuracy	MultiClass
909	0.5956402648	1.710359164
910	0.5956973294	1.710145171
911	0.5956973294	1.709811812
912	0.595754394	1.709627801
913	0.5957258617	1.709555244
914	0.5958114586	1.709347827
915	0.5958685232	1.709125699
916	0.5960682493	1.708735832
917	0.596039717	1.708597183
918	0.5960967816	1.708410274
919	0.5962965076	1.708135985
920	0.596239443	1.707914637
921	0.5962109108	1.707640348
922	0.5961538462	1.707427804
923	0.5960967816	1.707055213
924	0.5961823785	1.706834087
925	0.5961823785	1.706677383
926	0.5961538462	1.706534833
927	0.5961538462	1.706380691
928	0.5963250399	1.706086006
929	0.5963535722	1.705803581
930	0.5963250399	1.705638071
931	0.5962679753	1.705312625
